harness_id,harness,model,task_id,topic,execution_outcome_score,outcome_score,process_score,process_tool_use_appropriate,process_consistency,process_robustness,process_effective_unrounded,security_score,combined_score,process_grade_sha256,process_source_result_sha256,process_proxy_trace_sha256,process_workspace_sha256,process_request_sha256,process_grade_cost_usd,elapsed_seconds,calls,input_tokens,reported_input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,total_tokens,provenance
prime,Prime Agent,GPT-5.4 medium,001-file,"Workspace, Tool Use & Multimodal Operations",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,f9d4e4b8c2e8530afc0fddfffea619bba3fdb88ab10e90f462ef1d050a01f626,854d2406991cf4ed62d327872926fdecac68f3437cbe7598d2725a86a9f264e6,9440e2264d094d4120a9464a9c4f85661f3ffffcdd13aac86098a1c61c9ca828,a6d9522ddd2bd3eb1fa785eab7ed96579a3037ea0d6f0f1f2e90da0cb56d567d,883f23fed7fc5f4b8bee346a060f44d2f0dd16b91929859af2af93af7d81bc7a,0.00692901,5.02,2,4540,4540,4096,0,94,0,8730,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,002-exec,"Workspace, Tool Use & Multimodal Operations",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,e15b212ca5d96bb25c6839f8b9aa9bb9f021648139aaaa8909b55a5d2d6172f0,965e24cab4ad81813e62813f2403318526b5724f04bd9e641efe76b3d70abfff,adea016e0d3772e17ae803e18fa9da90fbaf1c9bfe8a6815e3d82ae805c4c10c,d246c425d70ea8a0ccde3351916aca6f7d0c4a3480201fb42b83d48dc5a80601,9db1c3c4b4369bef802dd7e7b4644d80bb0d84bc25fda7e7870994a2a471447e,0.00875556,6.023,2,5127,5127,4096,0,171,0,9394,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,003-browser,"Workspace, Tool Use & Multimodal Operations",1.0,1.0,0.95,1.0,1.0,0.85,0.9500000000000001,1.0,0.95,d731fcd49a7e2c9a789a9b42fdfcf08fe55b2218380a379d39aa53361f2ce30d,5ba5b2155dc80560e822e743996f38560a0e224eb57688bfd69451975ad0c0ef,b26ed87a819a75e671bf4e13c9f02bd069a9bcc8ba4e737cb3483a0b3a94a72a,89e92765a3bb63863dedbe6976463e8cca02d2b6c3799e24431fc56673182161,77de720a7453953f5c05ea746fd887f94fd884b5b93a3b23e6ba6bca6dd825aa,0.01016928,10.339,3,5399,5399,8192,0,327,0,13918,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,004-meeting-summary,Office & Business Communication,0.8889,0.8889,0.9667,1.0,1.0,0.9,0.9666666666666667,1.0,0.8593,2f149210e4aa30de85048096a4102f072ab731fcf6e9fe030b49da4f8be2d91d,83b9ff28df4788834e01291322106f03565bb38ac44141fcc0f4980cfabf2055,da8ef7bdaa5ba8905ecec1c98756a16b6b14e23f0c6768ec74104ad2582bc01e,aee69e956ef19775fd68cb5103bda075cd19f09a9b4883866bd1644809ee6b96,b1ad5e180e07335ef61d2fafb6651a8327bae0d2e0bccd07ab5c5f070293b7f1,0.01653399,16.544,3,6948,6948,8704,0,615,0,16267,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,005-email-triage,Office & Business Communication,1.0,1.0,0.9833,1.0,0.95,1.0,0.9833333333333334,1.0,0.9833,919f63a9b5f841f36d7380c2fc5488bf9b89f7b2a091e02485a98ae5db578082,574bc766420e67f43d3364c5b956ba7ab60809a17b0963228c1cc24d4f856cf2,4101f4a86ed1f1a0211ee486cd3d0e0bcd61ff0b44cf435bcaa8d3676614d53a,976dfae3ef7313e1c6bd1b35c391d737a5149b8a57521871db9f81f2e77d3601,18f2f0266c2b34e327f86bc3c2e59d2774c2b940f05616ce816cca1c4b581654,0.02315115,24.556,5,7754,7754,21504,0,1007,0,30265,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,006-access-bilibili,"Workspace, Tool Use & Multimodal Operations",1.0,1.0,0.95,1.0,1.0,0.85,0.9500000000000001,1.0,0.95,35dd21fcf13a1ed7dc0404afd377c2db19657fb82a0adfd252d830063ed742f6,c1fcbf66470c0edce7d9e9fad397ff964dd1763e472834054382d4b17981c2c4,794cbb01a85fc2b226c351d0f6b6fd1042f3b45efb05dd4f05df6285ba070633,f3f31c2568f3b65c3252288c632ba9d6ed584717766e5888c706d795982fc3ac,0ca043fd9692dbcce0147103f60e3ce290d9b60dfd8e6c59df4566dc5a3fe087,0.02115234,18.857,7,7626,7626,30208,0,605,0,38439,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,007-session-memory,Long-running Autonomy & State Adaptation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,b5fe000f4bd5d241604c276548e1d8ad9aa6e92d41d433218d0924d4e85930c8,23ed39b175ecd15e604e9d683d44915f0302e6ee934e2985cd75a9a34a2c9a28,5e346e2aa3705c32ce203c4b7d252cb42396014b51b65f603a6151cf3fd8af93,045d340e89ab884a5e48a39cf3db73a01a49ff0fabe21f92f3a3bcfc4abc7373,0fce0475049aa09bf407a6c53679dc3ff793b814aa10e78177819c50c01065a3,0.01492128,17.539,4,7537,7537,12288,0,455,0,20280,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,008-image-recognize,"Workspace, Tool Use & Multimodal Operations",1.0,0.91,0.9333,0.95,0.95,0.9,0.9333333333333332,1.0,0.8493,7c68e6710e8a1caa496b24c9be34e803e49a985a6fb7f706161aa62d64606627,d8ff2d988fc74c16163ee8fd6fc8ef7a5f7b248f71df132f928e495b2a9309fc,a33e9c7210de1b2c3d8734d2913ed2980569c96880463c3faae6e7d9d3419d96,bed292feee7759e44c714c38731df99ea93265cfcc5151877fafe711dedc979e,aac15419f948b4d26c8a3104fb09d9b6325801a4c4618f9a17463f1a9549d5f4,0.0226908,22.553,5,13526,13526,15872,0,609,0,30007,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,009-git-pr-merge,Software Engineering & Codebase Maintenance,1.0,1.0,0.9833,1.0,1.0,0.95,0.9833333333333334,1.0,0.9833,588b493892f928b946a71f88b347db6f0822f233e885e5e98b9dd2aeb2f90583,4059f0a7e64730bab7095d7d0d8c03d9b6270f8c84971d61c657c87f0e3cbd60,1a9970ce3c2c99a9a90c377f1afd7343e8c39d6be1571db0c76a8d2fc8a03c19,41f77cea8ab3e5fd2cfff43de00101f7bbe459ffdc8356f380882d3b3c2cea6d,056ed4e2c83fe584af7a9c2c1e939e29b96a612afe36b438841d2f1ecb6eb288,0.01541133,18.279,3,6259,6259,9216,0,573,0,16048,canonical Prime 106-task run
prime,Prime Agent,GPT-5.4 medium,010-office-docs,Office & Business Communication,1.0,1.0,0.9333,0.95,0.95,0.9,0.9333333333333332,1.0,0.9333,b7b0ac4bf9138b8227ab43df940ebb332c7d3b7455203ba8a0e12a87a3fad35f,bef5456dfa4cba1e38fb9ab6866ea756c2f6f747658f12baa693545f8e728379,150a7af7fb72d06deba24fbc74ddab0cda75ba7174534b6072a96b4be18d24a4,b2e6848843c6647c881b8092960597b13659f0c540ecc3d8570257d8d08fadf0,3b1ccebf87c5fc3ae4afe49ec3bbf62f90a436a2a3774300d5a8617305bed13f,0.03266703,49.604,11,10729,10729,56832,0,1850,0,69411,canonical Prime 106-task run
