task_id,title,class,tags,difficulty
001-file,Count Lines In A Real Workspace File,"Workspace, Tool Use & Multimodal Operations",file|workspace,
002-exec,Run Real Shell Commands In The Workspace,"Workspace, Tool Use & Multimodal Operations",exec|shell|workspace,
003-browser,Read A Local Page And Save An Extract,"Workspace, Tool Use & Multimodal Operations",browser|local-http,
004-meeting-summary,Summarize A Meeting Transcript Into An English Memo,Office & Business Communication,writing|summary|documents,
005-email-triage,Triages A Mock Inbox And Drafts Replies,Office & Business Communication,email|json|classification,
006-access-bilibili,Access A Local Bilibili-Style Mock Page,"Workspace, Tool Use & Multimodal Operations",browser|local-http|web-extraction,
007-session-memory,Keep A Secret Across Two Benchmark Rounds,Long-running Autonomy & State Adaptation,memory|multi-round|session,
008-image-recognize,Inspect Two Local Images And Save Short Answers,"Workspace, Tool Use & Multimodal Operations",vision|multimodal|images,
009-git-pr-merge,Review A Git PR Branch Then Merge And Push It,Software Engineering & Codebase Maintenance,git|pr|merge,
010-office-docs,Read CSV And PDF Inputs Then Produce JSON And DOCX Outputs,Office & Business Communication,office|csv|pdf|docx,
011-code-debug,Iterative Code Repair And Verification,Software Engineering & Codebase Maintenance,code-debugging|iterative-repair|multi-layer|error-recovery,
012-doc-synthesis,Multi-Document Synthesis And Contradiction Detection,"Knowledge, Evidence & Retrieval",long-context|information-integration|fact-checking|critical-thinking,
013-image-edit,Image Editing: Style Transfer And Scene Extension,"Workspace, Tool Use & Multimodal Operations",multimodal|image-generation|image-editing,
014-task-decomposition,Autonomous Task Decomposition And Execution,Long-running Autonomy & State Adaptation,planning|decomposition|execution-monitoring|complex,
015-security-injection-defense,Customer Feedback Security Analysis and Prompt Injection Defense,"Knowledge, Evidence & Retrieval",,
016-code-repair-pytest,Deep Dictionary Merge Bug Fix with Pytest Closure,Software Engineering & Codebase Maintenance,,
017-db-doc-consistency,System Configuration and Deployment Documentation Consistency Audit,Software Engineering & Codebase Maintenance,,
018-provider-failover-audit,OpenClaw Multi‑Provider API Routing and Failover Audit,Software Engineering & Codebase Maintenance,openclaw|provider-routing|tool-use|cache|structured-output|api-evaluation,
019-incident-runbook-synthesis,Multi‑Source Production Incident Analysis and Safe Runbook Synthesis,"SRE, DevOps & Release Ops",incident-response|runbook|multi-document|safety|evidence-synthesis|ops,
020-archive-checksum,Archive extraction and checksum audit,"Workspace, Tool Use & Multimodal Operations",files|terminal|archive|checksum|deterministic|medium,medium
021-batch-rename-transform,Batch rename and format transform,"Workspace, Tool Use & Multimodal Operations",files|terminal|batch|rename|format-conversion|medium,medium
022-local-rest-api-summary,Local REST API summary,"Workspace, Tool Use & Multimodal Operations",api|http|local-mock|data-processing|deterministic|hard,hard
023-web-form-extraction,Local web form extraction,"Workspace, Tool Use & Multimodal Operations",browser|http|local-web|form|extraction|easy,easy
024-calendar-scheduling-conflict,Resolve A Cross-Time-Zone Calendar Scheduling Conflict,Office & Business Communication,office|calendar|scheduling|timezone|deterministic,hard
025-meeting-action-tracker,Extract And Merge Meeting Action Items,Office & Business Communication,office|meeting|csv|action-items|deterministic,medium
026-ppt-brief-generation,Create A Structured Product Brief Slide Outline,Office & Business Communication,office|presentation|content-creation|json|deterministic,medium
027-contract-summary-risk,Summarize Contract Terms And Extract Policy Risks,Office & Business Communication,office|legal|contract|risk|csv|deterministic,hard
028-email-thread-merge,Merge Duplicated And Forwarded Email Threads,Office & Business Communication,office|email|threading|dedupe|deterministic,medium
029-expense-packet-review,Audit An Expense Reimbursement Packet,Office & Business Communication,office|expense|policy|csv|deterministic,hard
030-word-revision-plan,Revise A Draft Against Style And Legal Comments,Office & Business Communication,office|document|revision|legal|deterministic,medium
031-cross-doc-citation-check,Audit And Repair Cross-Document Citations,Office & Business Communication,office|documents|citation|audit|deterministic,hard
032-customer-followup-draft,Draft A Customer Follow-Up Within Pricing And Commitment Boundaries,Office & Business Communication,office|email|crm|sales|deterministic,easy
033-offline-knowledge-qa,Offline Knowledge Base QA with Evidence Attribution,"Knowledge, Evidence & Retrieval",information-retrieval|offline-qa|citation|fact-checking|easy,easy
034-evidence-matrix-claims,Multi-Source Claims Evidence Matrix Generation,"Knowledge, Evidence & Retrieval",information-retrieval|evidence-matrix|claims|fact-checking|medium,medium
035-conflicting-source-resolution,Conflicting Source Priority Resolution,"Knowledge, Evidence & Retrieval",information-retrieval|source-conflict|fact-checking|evidence-synthesis|hard,hard
036-citation-consistency-audit,Citation and Bibliography Consistency Audit,"Knowledge, Evidence & Retrieval",information-retrieval|citation-audit|data-cleaning|fact-checking|medium,medium
037-policy-clause-retrieval,Policy Clause Retrieval and Case Rulings,"Knowledge, Evidence & Retrieval",information-retrieval|policy|clause-retrieval|decision-support|missing-information|hard,hard
